12
Boar Pingtun SU-4 2004.08
Dog Kaohsiung SU-3 2005.05
Dragon Taichung CN-1 1997.10
Goat Yunlin CN-4 2000.10
Horse Nantou CN-3 2002.05
Monkey Chayi SU-1 2000.06
Ox New Taipei City NR-2 2000.02
Rabbit Hsinchu NR-4 1999.06
Rat Taipei NR-1 2000.01
Rooster Tainan SU-2 1995.10
Snake Changhua CN-2 2001.01
Tiger Taoyuan NR-3 1998.12
324
RBL2020-1 NR-2 NR-1 90 100 2020.03.01
RBL2020-2 NR-4 NR-3 119 93 2020.03.01
RBL2020-3 CN-2 CN-1 98 82 2020.03.01
RBL2020-4 CN-4 CN-3 119 87 2020.03.01
RBL2020-5 SU-2 SU-1 83 106 2020.03.01
RBL2020-6 SU-4 SU-3 109 71 2020.03.01
RBL2020-7 NR-3 NR-1 92 93 2020.03.03
RBL2020-8 NR-4 NR-2 97 92 2020.03.03
RBL2020-9 CN-3 CN-1 76 100 2020.03.03
RBL2020-10 CN-4 CN-2 75 113 2020.03.03
RBL2020-11 SU-3 SU-1 73 108 2020.03.03
RBL2020-12 SU-4 SU-2 94 104 2020.03.03
RBL2020-13 NR-4 NR-1 98 71 2020.03.05
RBL2020-14 NR-3 NR-2 97 91 2020.03.05
RBL2020-15 CN-4 CN-1 78 90 2020.03.05
RBL2020-16 CN-3 CN-2 83 110 2020.03.05
RBL2020-17 SU-4 SU-1 90 89 2020.03.05
RBL2020-18 SU-3 SU-2 72 114 2020.03.05
RBL2020-19 NR-3 NR-2 96 112 2020.03.07
RBL2020-20 NR-1 NR-4 85 82 2020.03.07
RBL2020-21 CN-3 CN-2 82 81 2020.03.07
RBL2020-22 CN-1 CN-4 99 98 2020.03.07
RBL2020-23 SU-3 SU-2 98 111 2020.03.07
RBL2020-24 SU-1 SU-4 82 117 2020.03.07
RBL2020-25 NR-2 NR-3 75 73 2020.03.09
RBL2020-26 NR-1 NR-4 79 111 2020.03.09
RBL2020-27 CN-2 CN-3 77 80 2020.03.09
RBL2020-28 CN-1 CN-4 86 84 2020.03.09
RBL2020-29 SU-2 SU-3 86 79 2020.03.09
RBL2020-30 SU-1 SU-4 97 96 2020.03.09
RBL2020-31 NR-2 NR-4 98 107 2020.03.11
RBL2020-32 NR-1 NR-3 98 104 2020.03.11
RBL2020-33 CN-2 CN-4 76 112 2020.03.11
RBL2020-34 CN-1 CN-3 104 74 2020.03.11
RBL2020-35 SU-2 SU-4 71 78 2020.03.11
RBL2020-36 SU-1 SU-3 76 101 2020.03.11
RBL2020-37 CN-1 NR-1 82 77 2020.03.13
RBL2020-38 CN-2 NR-2 79 77 2020.03.13
RBL2020-39 SU-1 CN-3 108 89 2020.03.13
RBL2020-40 SU-2 CN-4 104 108 2020.03.13
RBL2020-41 NR-3 SU-3 96 101 2020.03.13
RBL2020-42 NR-4 SU-4 75 71 2020.03.13
RBL2020-43 SU-1 CN-1 97 77 2020.03.15
RBL2020-44 SU-2 CN-2 95 88 2020.03.15
RBL2020-45 NR-1 SU-3 100 98 2020.03.15
RBL2020-46 NR-2 SU-4 95 73 2020.03.15
RBL2020-47 CN-3 NR-3 108 107 2020.03.15
RBL2020-48 CN-4 NR-4 77 93 2020.03.15
RBL2020-49 NR-1 SU-1 90 80 2020.03.17
RBL2020-50 NR-2 SU-2 81 93 2020.03.17
RBL2020-51 CN-1 NR-3 74 71 2020.03.17
RBL2020-52 CN-2 NR-4 111 93 2020.03.17
RBL2020-53 SU-3 CN-3 98 112 2020.03.17
RBL2020-54 SU-4 CN-4 111 109 2020.03.17
RBL2020-55 NR-1 CN-1 87 110 2020.03.19
RBL2020-56 NR-2 CN-2 109 81 2020.03.19
RBL2020-57 CN-3 SU-1 76 77 2020.03.19
RBL2020-58 CN-4 SU-2 86 74 2020.03.19
RBL2020-59 SU-3 NR-3 73 82 2020.03.19
RBL2020-60 SU-4 NR-4 91 86 2020.03.19
RBL2020-61 CN-1 SU-1 116 78 2020.03.21
RBL2020-62 CN-2 SU-2 79 117 2020.03.21
RBL2020-63 SU-3 NR-1 109 76 2020.03.21
RBL2020-64 SU-4 NR-2 82 113 2020.03.21
RBL2020-65 NR-3 CN-3 101 79 2020.03.21
RBL2020-66 NR-4 CN-4 78 93 2020.03.21
RBL2020-67 SU-1 NR-1 94 110 2020.03.23
RBL2020-68 SU-2 NR-2 75 103 2020.03.23
RBL2020-69 NR-3 CN-1 99 105 2020.03.23
RBL2020-70 NR-4 CN-2 73 72 2020.03.23
RBL2020-71 CN-3 SU-3 106 113 2020.03.23
RBL2020-72 CN-4 SU-4 107 110 2020.03.23
RBL2020-73 NR-2 NR-1 96 102 2020.04.01
RBL2020-74 NR-4 NR-3 96 101 2020.04.01
RBL2020-75 CN-2 CN-1 114 83 2020.04.01
RBL2020-76 CN-4 CN-3 90 91 2020.04.01
RBL2020-77 SU-2 SU-1 115 83 2020.04.01
RBL2020-78 SU-4 SU-3 99 114 2020.04.01
RBL2020-79 NR-3 NR-1 76 80 2020.04.03
RBL2020-80 NR-4 NR-2 93 118 2020.04.03
RBL2020-81 CN-3 CN-1 100 110 2020.04.03
RBL2020-82 CN-4 CN-2 109 101 2020.04.03
RBL2020-83 SU-3 SU-1 81 77 2020.04.03
RBL2020-84 SU-4 SU-2 113 108 2020.04.03
RBL2020-85 NR-4 NR-1 112 97 2020.04.05
RBL2020-86 NR-3 NR-2 77 88 2020.04.05
RBL2020-87 CN-4 CN-1 96 72 2020.04.05
RBL2020-88 CN-3 CN-2 80 97 2020.04.05
RBL2020-89 SU-4 SU-1 109 106 2020.04.05
RBL2020-90 SU-3 SU-2 110 88 2020.04.05
RBL2020-91 NR-3 NR-2 90 102 2020.04.07
RBL2020-92 NR-1 NR-4 72 79 2020.04.07
RBL2020-93 CN-3 CN-2 103 70 2020.04.07
RBL2020-94 CN-1 CN-4 93 98 2020.04.07
RBL2020-95 SU-3 SU-2 94 80 2020.04.07
RBL2020-96 SU-1 SU-4 105 101 2020.04.07
RBL2020-97 NR-2 NR-3 86 82 2020.04.09
RBL2020-98 NR-1 NR-4 81 109 2020.04.09
RBL2020-99 CN-2 CN-3 88 113 2020.04.09
RBL2020-100 CN-1 CN-4 95 85 2020.04.09
RBL2020-101 SU-2 SU-3 104 95 2020.04.09
RBL2020-102 SU-1 SU-4 97 106 2020.04.09
RBL2020-103 NR-2 NR-4 90 119 2020.04.11
RBL2020-104 NR-1 NR-3 71 104 2020.04.11
RBL2020-105 CN-2 CN-4 94 79 2020.04.11
RBL2020-106 CN-1 CN-3 92 91 2020.04.11
